experiment name	ranking_confidence	receptor	propeptide	peptide
TGR3L_HUMAN_NUCB1_HUMAN_388_398_13982528712754417	0.764984468093782	TGR3L_HUMAN	NUCB1_HUMAN	NUCB1_HUMAN_388_398
TGR3L_HUMAN_VTX-0866104_75_83_13982528712754417	0.8071766131983216	TGR3L_HUMAN	VTX-0866104	VTX-0866104_75_83
TGR3L_HUMAN_VTX-0869613_28_177_13982528712754417	0.7628799409956053	TGR3L_HUMAN	VTX-0869613	VTX-0869613_28_177
TLR4_HUMAN_VTX-0616304_33_43_13982528712754417	0.7530410435713193	TLR4_HUMAN	VTX-0616304	VTX-0616304_33_43
TLR4_HUMAN_VTX-0375017_36_56_13982528712754417	0.7646819540240729	TLR4_HUMAN	VTX-0375017	VTX-0375017_36_56
TLR4_HUMAN_VTX-0859974_16_28_13982528712754417	0.7584208608413188	TLR4_HUMAN	VTX-0859974	VTX-0859974_16_28
TLR4_HUMAN_VTX-0009670_88_99_13982528712754417	0.7822874225983304	TLR4_HUMAN	VTX-0009670	VTX-0009670_88_99
TLR4_HUMAN_VTX-0033912_31_45_13982528712754417	0.7680439370468171	TLR4_HUMAN	VTX-0033912	VTX-0033912_31_45
TLR4_HUMAN_VTX-0375017_36_55_13982528712754417	0.7653923791845655	TLR4_HUMAN	VTX-0375017	VTX-0375017_36_55
BT3A3_HUMAN_VTX-0863127_29_84_13982528712754417	0.7529962405857423	BT3A3_HUMAN	VTX-0863127	VTX-0863127_29_84
PTPRT_HUMAN_VTX-0865461_66_125_13982528712754417	0.7849009873524901	PTPRT_HUMAN	VTX-0865461	VTX-0865461_66_125
ENPP3_HUMAN_SCG2_HUMAN_267_281_13982528712754417	0.7572952151623003	ENPP3_HUMAN	SCG2_HUMAN	SCG2_HUMAN_267_281
ENPP3_HUMAN_VTX-0616304_33_43_13982528712754417	0.7519412371577596	ENPP3_HUMAN	VTX-0616304	VTX-0616304_33_43
ENPP3_HUMAN_VTX-0858580_22_33_13982528712754417	0.7528519601930617	ENPP3_HUMAN	VTX-0858580	VTX-0858580_22_33
ENPP3_HUMAN_PENK_HUMAN_237_258_13982528712754417	0.7860000359777085	ENPP3_HUMAN	PENK_HUMAN	PENK_HUMAN_237_258
ENPP3_HUMAN_TKN1_HUMAN_20_30_13982528712754417	0.756230012387882	ENPP3_HUMAN	TKN1_HUMAN	TKN1_HUMAN_20_30
ENPP3_HUMAN_VTX-0375017_24_30_13982528712754417	0.7538803477989725	ENPP3_HUMAN	VTX-0375017	VTX-0375017_24_30
ENPP3_HUMAN_VTX-0375017_24_34_13982528712754417	0.7978017659191552	ENPP3_HUMAN	VTX-0375017	VTX-0375017_24_34
ENPP3_HUMAN_VTX-0864359_158_170_13982528712754417	0.7750989934828567	ENPP3_HUMAN	VTX-0864359	VTX-0864359_158_170
ENPP3_HUMAN_VTX-0336752_30_38_13982528712754417	0.7568110585783705	ENPP3_HUMAN	VTX-0336752	VTX-0336752_30_38
ENPP3_HUMAN_VTX-0869133_31_47_13982528712754417	0.7631954351647148	ENPP3_HUMAN	VTX-0869133	VTX-0869133_31_47
ENPP3_HUMAN_VTX-0866650_24_29_13982528712754417	0.7525046614739124	ENPP3_HUMAN	VTX-0866650	VTX-0866650_24_29
ENPP3_HUMAN_VTX-0868490_19_26_13982528712754417	0.7691807290257004	ENPP3_HUMAN	VTX-0868490	VTX-0868490_19_26
ENPP3_HUMAN_VTX-0870827_24_36_13982528712754417	0.7504151259212067	ENPP3_HUMAN	VTX-0870827	VTX-0870827_24_36
TR13B_HUMAN_VTX-0021927_27_86_13982528712754417	0.769568279754968	TR13B_HUMAN	VTX-0021927	VTX-0021927_27_86
PCD17_HUMAN_VTX-0870827_24_36_13982528712754417	0.7605363803797167	PCD17_HUMAN	VTX-0870827	VTX-0870827_24_36
EPHB6_HUMAN_VTX-0866413_59_189_13982528712754417	0.7824012090500102	EPHB6_HUMAN	VTX-0866413	VTX-0866413_59_189
TMPS2_HUMAN_GHRL_HUMAN_24_37_13982528712754417	0.814499228132871	TMPS2_HUMAN	GHRL_HUMAN	GHRL_HUMAN_24_37
TMPS2_HUMAN_VTX-0616304_33_43_13982528712754417	0.7638345816281044	TMPS2_HUMAN	VTX-0616304	VTX-0616304_33_43
TMPS2_HUMAN_VTX-0859974_20_28_13982528712754417	0.7638023690738512	TMPS2_HUMAN	VTX-0859974	VTX-0859974_20_28
TMPS2_HUMAN_VTX-0375017_36_55_13982528712754417	0.7526123204994677	TMPS2_HUMAN	VTX-0375017	VTX-0375017_36_55
TMPS2_HUMAN_VTX-0859974_18_27_13982528712754417	0.7696410555336834	TMPS2_HUMAN	VTX-0859974	VTX-0859974_18_27
TMPS2_HUMAN_VTX-0866650_24_29_13982528712754417	0.7587261452882719	TMPS2_HUMAN	VTX-0866650	VTX-0866650_24_29
TMPS2_HUMAN_VTX-0865461_53_63_13982528712754417	0.8283200520695473	TMPS2_HUMAN	VTX-0865461	VTX-0865461_53_63
TMPS2_HUMAN_VTX-0864774_27_129_13982528712754417	0.7633472052123624	TMPS2_HUMAN	VTX-0864774	VTX-0864774_27_129
TMPS2_HUMAN_VTX-0864497_24_51_13982528712754417	0.7535496501635265	TMPS2_HUMAN	VTX-0864497	VTX-0864497_24_51
FLRT2_HUMAN_GLUC_HUMAN_53_68_13982528712754417	0.8478006323039448	FLRT2_HUMAN	GLUC_HUMAN	GLUC_HUMAN_53_68
ADA12_HUMAN_NPW_HUMAN_105_115_13982528712754417	0.7513377571218471	ADA12_HUMAN	NPW_HUMAN	NPW_HUMAN_105_115
ADA12_HUMAN_GHRL_HUMAN_24_37_13982528712754417	0.7890929966731803	ADA12_HUMAN	GHRL_HUMAN	GHRL_HUMAN_24_37
ADA12_HUMAN_VTX-0616304_33_43_13982528712754417	0.7569398910652765	ADA12_HUMAN	VTX-0616304	VTX-0616304_33_43
ADA12_HUMAN_VTX-0375017_24_34_13982528712754417	0.7651343417907601	ADA12_HUMAN	VTX-0375017	VTX-0375017_24_34
LRRT2_HUMAN_SMS_HUMAN_70_87_13982528712754417	0.7920065782008752	LRRT2_HUMAN	SMS_HUMAN	SMS_HUMAN_70_87
LRRT2_HUMAN_SMS_HUMAN_70_87_13982528712754417	0.7920065782008752	LRRT2_HUMAN	SMS_HUMAN	SMS_HUMAN_70_87
LRRT2_HUMAN_VTX-0865074_24_189_13982528712754417	0.752632682154106	LRRT2_HUMAN	VTX-0865074	VTX-0865074_24_189
LRRT2_HUMAN_VTX-0864359_156_170_13982528712754417	0.7870327395816713	LRRT2_HUMAN	VTX-0864359	VTX-0864359_156_170
LRRT2_HUMAN_VTX-0862202_23_158_13982528712754417	0.8296975638040124	LRRT2_HUMAN	VTX-0862202	VTX-0862202_23_158
LRRT2_HUMAN_VTX-0864838_18_180_13982528712754417	0.7949506196798782	LRRT2_HUMAN	VTX-0864838	VTX-0864838_18_180
LRRT2_HUMAN_VTX-0021927_27_86_13982528712754417	0.756811346319143	LRRT2_HUMAN	VTX-0021927	VTX-0021927_27_86
ADA20_HUMAN_SCG2_HUMAN_267_281_13982528712754417	0.758683667694382	ADA20_HUMAN	SCG2_HUMAN	SCG2_HUMAN_267_281
ADA20_HUMAN_NUCB1_HUMAN_73_82_13982528712754417	0.8082080247329149	ADA20_HUMAN	NUCB1_HUMAN	NUCB1_HUMAN_73_82
ADA20_HUMAN_VTX-0331059_19_32_13982528712754417	0.8160525385889507	ADA20_HUMAN	VTX-0331059	VTX-0331059_19_32
ADA20_HUMAN_VTX-0616304_33_43_13982528712754417	0.7851059095361012	ADA20_HUMAN	VTX-0616304	VTX-0616304_33_43
ADA20_HUMAN_VTX-0859974_16_28_13982528712754417	0.7585112276592759	ADA20_HUMAN	VTX-0859974	VTX-0859974_16_28
ADA20_HUMAN_VTX-0859974_20_28_13982528712754417	0.8661018366196496	ADA20_HUMAN	VTX-0859974	VTX-0859974_20_28
ADA20_HUMAN_TKN1_HUMAN_111_118_13982528712754417	0.8156899829557556	ADA20_HUMAN	TKN1_HUMAN	TKN1_HUMAN_111_118
ADA20_HUMAN_VTX-0375017_24_34_13982528712754417	0.7999191153752039	ADA20_HUMAN	VTX-0375017	VTX-0375017_24_34
ADA20_HUMAN_VTX-0859974_18_27_13982528712754417	0.821732125259208	ADA20_HUMAN	VTX-0859974	VTX-0859974_18_27
ADA20_HUMAN_VTX-0866650_24_29_13982528712754417	0.7508284332819535	ADA20_HUMAN	VTX-0866650	VTX-0866650_24_29
ADA20_HUMAN_VTX-0866336_35_89_13982528712754417	0.7513906527299419	ADA20_HUMAN	VTX-0866336	VTX-0866336_35_89
SGCE_HUMAN_SMS_HUMAN_70_87_13982528712754417	0.7504319337992807	SGCE_HUMAN	SMS_HUMAN	SMS_HUMAN_70_87
SGCE_HUMAN_VTX-0616304_18_31_13982528712754417	0.7799847832509569	SGCE_HUMAN	VTX-0616304	VTX-0616304_18_31
SGCE_HUMAN_SMS_HUMAN_70_87_13982528712754417	0.7504319337992807	SGCE_HUMAN	SMS_HUMAN	SMS_HUMAN_70_87
SGCE_HUMAN_VTX-0867004_18_173_13982528712754417	0.753854865848012	SGCE_HUMAN	VTX-0867004	VTX-0867004_18_173
SGCE_HUMAN_VTX-0866980_21_170_13982528712754417	0.8290981423835663	SGCE_HUMAN	VTX-0866980	VTX-0866980_21_170
TNF14_HUMAN_VTX-0865827_77_133_13982528712754417	0.7616163469692472	TNF14_HUMAN	VTX-0865827	VTX-0865827_77_133
CAH12_HUMAN_VTX-0867004_18_173_13982528712754417	0.7540711173933279	CAH12_HUMAN	VTX-0867004	VTX-0867004_18_173
CAH12_HUMAN_VTX-0001904_22_90_13982528712754417	0.8279053310515241	CAH12_HUMAN	VTX-0001904	VTX-0001904_22_90
CAH12_HUMAN_VTX-0001592_25_130_13982528712754417	0.8040080287883755	CAH12_HUMAN	VTX-0001592	VTX-0001592_25_130
TM11D_HUMAN_VTX-0616304_18_31_13982528712754417	0.7501638627066101	TM11D_HUMAN	VTX-0616304	VTX-0616304_18_31
TM11D_HUMAN_VTX-0616304_33_43_13982528712754417	0.8171237898501078	TM11D_HUMAN	VTX-0616304	VTX-0616304_33_43
TM11D_HUMAN_VTX-0859974_16_28_13982528712754417	0.7845344441361338	TM11D_HUMAN	VTX-0859974	VTX-0859974_16_28
TM11D_HUMAN_VTX-0859974_20_28_13982528712754417	0.8357304370509885	TM11D_HUMAN	VTX-0859974	VTX-0859974_20_28
TM11D_HUMAN_MFAP5_HUMAN_154_173_13982528712754417	0.7994129465598462	TM11D_HUMAN	MFAP5_HUMAN	MFAP5_HUMAN_154_173
TM11D_HUMAN_NICOL_HUMAN_73_95_13982528712754417	0.8243930574758606	TM11D_HUMAN	NICOL_HUMAN	NICOL_HUMAN_73_95
TM11D_HUMAN_PENK_HUMAN_237_258_13982528712754417	0.7990296512871226	TM11D_HUMAN	PENK_HUMAN	PENK_HUMAN_237_258
TM11D_HUMAN_SCG1_HUMAN_21_61_13982528712754417	0.7711876308261545	TM11D_HUMAN	SCG1_HUMAN	SCG1_HUMAN_21_61
TM11D_HUMAN_TKN1_HUMAN_111_126_13982528712754417	0.7530568612697832	TM11D_HUMAN	TKN1_HUMAN	TKN1_HUMAN_111_126
TM11D_HUMAN_VTX-0859974_18_27_13982528712754417	0.8206204273856039	TM11D_HUMAN	VTX-0859974	VTX-0859974_18_27
TM11D_HUMAN_VTX-0336752_30_38_13982528712754417	0.823202784841056	TM11D_HUMAN	VTX-0336752	VTX-0336752_30_38
TM11D_HUMAN_VTX-0865618_160_182_13982528712754417	0.7570409960403031	TM11D_HUMAN	VTX-0865618	VTX-0865618_160_182
TM11D_HUMAN_VTX-0866650_24_29_13982528712754417	0.892766530094981	TM11D_HUMAN	VTX-0866650	VTX-0866650_24_29
TM11D_HUMAN_VTX-0865074_138_189_13982528712754417	0.7599291767094009	TM11D_HUMAN	VTX-0865074	VTX-0865074_138_189
TM11D_HUMAN_VTX-0866413_35_56_13982528712754417	0.771026128899422	TM11D_HUMAN	VTX-0866413	VTX-0866413_35_56
TM11D_HUMAN_VTX-0015382_113_129_13982528712754417	0.7621219411219139	TM11D_HUMAN	VTX-0015382	VTX-0015382_113_129
TM11D_HUMAN_VTX-0865461_53_63_13982528712754417	0.7629936689367897	TM11D_HUMAN	VTX-0865461	VTX-0865461_53_63
TM11D_HUMAN_VTX-0868490_19_26_13982528712754417	0.7741197902458269	TM11D_HUMAN	VTX-0868490	VTX-0868490_19_26
TM11D_HUMAN_VTX-0863124_144_163_13982528712754417	0.795077979334887	TM11D_HUMAN	VTX-0863124	VTX-0863124_144_163
PLXC1_HUMAN_VTX-0862202_23_158_13982528712754417	0.826809214102401	PLXC1_HUMAN	VTX-0862202	VTX-0862202_23_158
MPZL2_HUMAN_APEL_HUMAN_24_41_13982528712754417	0.8701489425156783	MPZL2_HUMAN	APEL_HUMAN	APEL_HUMAN_24_41
MPZL2_HUMAN_VTX-0866650_24_29_13982528712754417	0.8692826817600092	MPZL2_HUMAN	VTX-0866650	VTX-0866650_24_29
NPHN_HUMAN_VTX-0027325_23_100_13982528712754417	0.7661554481849342	NPHN_HUMAN	VTX-0027325	VTX-0027325_23_100
TLR5_HUMAN_VTX-0013820_24_95_13982528712754417	0.8237307832288204	TLR5_HUMAN	VTX-0013820	VTX-0013820_24_95
TLR5_HUMAN_VTX-0853283_23_34_13982528712754417	0.8036128052507285	TLR5_HUMAN	VTX-0853283	VTX-0853283_23_34
TLR5_HUMAN_VTX-0006555_28_72_13982528712754417	0.8140627986489204	TLR5_HUMAN	VTX-0006555	VTX-0006555_28_72
TLR5_HUMAN_VTX-0011708_25_121_13982528712754417	0.8164082543744667	TLR5_HUMAN	VTX-0011708	VTX-0011708_25_121
TLR2_HUMAN_VTX-0025544_21_141_13982528712754417	0.8163141443845381	TLR2_HUMAN	VTX-0025544	VTX-0025544_21_141
TLR2_HUMAN_VTX-0006555_28_108_13982528712754417	0.7779202134170063	TLR2_HUMAN	VTX-0006555	VTX-0006555_28_108
FCMR_HUMAN_GRP_HUMAN_83_93_13982528712754417	0.7996084598254272	FCMR_HUMAN	GRP_HUMAN	GRP_HUMAN_83_93
FCMR_HUMAN_SCG3_HUMAN_35_52_13982528712754417	0.8084465512310415	FCMR_HUMAN	SCG3_HUMAN	SCG3_HUMAN_35_52
FCMR_HUMAN_SMS_HUMAN_70_87_13982528712754417	0.7991429538937603	FCMR_HUMAN	SMS_HUMAN	SMS_HUMAN_70_87
FCMR_HUMAN_GHRL_HUMAN_24_37_13982528712754417	0.7794994684068093	FCMR_HUMAN	GHRL_HUMAN	GHRL_HUMAN_24_37
FCMR_HUMAN_NUCB1_HUMAN_388_398_13982528712754417	0.7732639701830317	FCMR_HUMAN	NUCB1_HUMAN	NUCB1_HUMAN_388_398
FCMR_HUMAN_GRN_HUMAN_18_44_13982528712754417	0.8057715052457177	FCMR_HUMAN	GRN_HUMAN	GRN_HUMAN_18_44
FCMR_HUMAN_MGP_HUMAN_71_80_13982528712754417	0.7741399895162062	FCMR_HUMAN	MGP_HUMAN	MGP_HUMAN_71_80
FCMR_HUMAN_SMS_HUMAN_70_87_13982528712754417	0.7991429538937603	FCMR_HUMAN	SMS_HUMAN	SMS_HUMAN_70_87
FCMR_HUMAN_VTX-0864359_158_170_13982528712754417	0.8146701510294294	FCMR_HUMAN	VTX-0864359	VTX-0864359_158_170
FCMR_HUMAN_VTX-0864359_156_170_13982528712754417	0.7897579387147718	FCMR_HUMAN	VTX-0864359	VTX-0864359_156_170
FCMR_HUMAN_VTX-0006555_28_108_13982528712754417	0.7792030778075917	FCMR_HUMAN	VTX-0006555	VTX-0006555_28_108
RAMP1_HUMAN_APOA2_HUMAN_24_37_13982528712754417	0.8093373382716528	RAMP1_HUMAN	APOA2_HUMAN	APOA2_HUMAN_24_37
RAMP3_HUMAN_VTX-0015382_28_129_13982528712754417	0.7725926518029252	RAMP3_HUMAN	VTX-0015382	VTX-0015382_28_129
LIRB3_HUMAN_SCG1_HUMAN_600_613_13982528712754417	0.7579629477334914	LIRB3_HUMAN	SCG1_HUMAN	SCG1_HUMAN_600_613
ADA23_HUMAN_NUCB1_HUMAN_388_398_13982528712754417	0.7570384757916307	ADA23_HUMAN	NUCB1_HUMAN	NUCB1_HUMAN_388_398
ADA23_HUMAN_VTX-0865461_53_63_13982528712754417	0.8015232484876675	ADA23_HUMAN	VTX-0865461	VTX-0865461_53_63
AOC2_HUMAN_VTX-0616304_61_69_13982528712754417	0.7517700029700605	AOC2_HUMAN	VTX-0616304	VTX-0616304_61_69
AOC2_HUMAN_VTX-0858580_18_33_13982528712754417	0.756762773459177	AOC2_HUMAN	VTX-0858580	VTX-0858580_18_33
AOC2_HUMAN_VTX-0859974_20_28_13982528712754417	0.8093312297419346	AOC2_HUMAN	VTX-0859974	VTX-0859974_20_28
AOC2_HUMAN_VTX-0375017_24_30_13982528712754417	0.8041468449779586	AOC2_HUMAN	VTX-0375017	VTX-0375017_24_30
AOC2_HUMAN_VTX-0859974_18_27_13982528712754417	0.7942999009716339	AOC2_HUMAN	VTX-0859974	VTX-0859974_18_27
AOC2_HUMAN_VTX-0336752_30_38_13982528712754417	0.7735938573502503	AOC2_HUMAN	VTX-0336752	VTX-0336752_30_38
AOC2_HUMAN_VTX-0039357_66_80_13982528712754417	0.7880406169220613	AOC2_HUMAN	VTX-0039357	VTX-0039357_66_80
MFA3L_HUMAN_VTX-0863485_20_125_13982528712754417	0.7962965272198113	MFA3L_HUMAN	VTX-0863485	VTX-0863485_20_125
ICOSL_HUMAN_GRN_HUMAN_18_44_13982528712754417	0.8463110367584533	ICOSL_HUMAN	GRN_HUMAN	GRN_HUMAN_18_44
ICOSL_HUMAN_VTX-0851377_1_87_13982528712754417	0.7524164418714	ICOSL_HUMAN	VTX-0851377	VTX-0851377_1_87
ICOSL_HUMAN_VTX-0866104_75_83_13982528712754417	0.8445794259182794	ICOSL_HUMAN	VTX-0866104	VTX-0866104_75_83
ICOSL_HUMAN_VTX-0865827_28_133_13982528712754417	0.8811339778647663	ICOSL_HUMAN	VTX-0865827	VTX-0865827_28_133
ICOSL_HUMAN_VTX-0006555_75_79_13982528712754417	0.8642965844840156	ICOSL_HUMAN	VTX-0006555	VTX-0006555_75_79
TNR21_HUMAN_SCG2_HUMAN_267_281_13982528712754417	0.7705447259786826	TNR21_HUMAN	SCG2_HUMAN	SCG2_HUMAN_267_281
TNR21_HUMAN_VTX-0864359_158_170_13982528712754417	0.8321498888620836	TNR21_HUMAN	VTX-0864359	VTX-0864359_158_170
TNR21_HUMAN_VTX-0864359_156_170_13982528712754417	0.8402094008375687	TNR21_HUMAN	VTX-0864359	VTX-0864359_156_170
ITA10_HUMAN_VTX-0864964_27_194_13982528712754417	0.8417285389012223	ITA10_HUMAN	VTX-0864964	VTX-0864964_27_194
RENR_HUMAN_SCG3_HUMAN_426_468_13982528712754417	0.8170899914792426	RENR_HUMAN	SCG3_HUMAN	SCG3_HUMAN_426_468
RENR_HUMAN_VTX-0867893_40_95_13982528712754417	0.7928366074605454	RENR_HUMAN	VTX-0867893	VTX-0867893_40_95
RENR_HUMAN_VTX-0868490_19_26_13982528712754417	0.7823698340977343	RENR_HUMAN	VTX-0868490	VTX-0868490_19_26
CEAM4_HUMAN_VTX-0868062_26_199_13982528712754417	0.7949219560628715	CEAM4_HUMAN	VTX-0868062	VTX-0868062_26_199
ATRN_HUMAN_7B2_HUMAN_182_197_13982528712754417	0.8222435080190161	ATRN_HUMAN	7B2_HUMAN	7B2_HUMAN_182_197
ATRN_HUMAN_SCG3_HUMAN_35_52_13982528712754417	0.7785585270866276	ATRN_HUMAN	SCG3_HUMAN	SCG3_HUMAN_35_52
ATRN_HUMAN_VTX-0616304_33_43_13982528712754417	0.7601148918542031	ATRN_HUMAN	VTX-0616304	VTX-0616304_33_43
ATRN_HUMAN_VTX-0033912_31_45_13982528712754417	0.7766871413976615	ATRN_HUMAN	VTX-0033912	VTX-0033912_31_45
ATRN_HUMAN_VTX-0867004_18_173_13982528712754417	0.799498579010695	ATRN_HUMAN	VTX-0867004	VTX-0867004_18_173
ATRN_HUMAN_VTX-0009691_108_120_13982528712754417	0.7866166254438921	ATRN_HUMAN	VTX-0009691	VTX-0009691_108_120
ATRN_HUMAN_VTX-0863485_20_125_13982528712754417	0.7913738343515093	ATRN_HUMAN	VTX-0863485	VTX-0863485_20_125
NCTR1_HUMAN_GRP_HUMAN_83_93_13982528712754417	0.8475873862573947	NCTR1_HUMAN	GRP_HUMAN	GRP_HUMAN_83_93
NCTR1_HUMAN_SCG3_HUMAN_35_52_13982528712754417	0.7828282531921182	NCTR1_HUMAN	SCG3_HUMAN	SCG3_HUMAN_35_52
NCTR1_HUMAN_NUCB1_HUMAN_368_385_13982528712754417	0.8176348811447063	NCTR1_HUMAN	NUCB1_HUMAN	NUCB1_HUMAN_368_385
NCTR1_HUMAN_VTX-0864359_158_170_13982528712754417	0.7955634125173318	NCTR1_HUMAN	VTX-0864359	VTX-0864359_158_170
NCTR1_HUMAN_VTX-0006177_24_129_13982528712754417	0.7559483225964915	NCTR1_HUMAN	VTX-0006177	VTX-0006177_24_129
NCTR1_HUMAN_VTX-0027325_23_100_13982528712754417	0.8794029171546798	NCTR1_HUMAN	VTX-0027325	VTX-0027325_23_100
LRIG2_HUMAN_SCG1_HUMAN_421_437_13982528712754417	0.7756695347176543	LRIG2_HUMAN	SCG1_HUMAN	SCG1_HUMAN_421_437
LRIG2_HUMAN_VTX-0864964_27_194_13982528712754417	0.8070676713737548	LRIG2_HUMAN	VTX-0864964	VTX-0864964_27_194
SLIK3_HUMAN_NUCB1_HUMAN_164_176_13982528712754417	0.7811351649807294	SLIK3_HUMAN	NUCB1_HUMAN	NUCB1_HUMAN_164_176
SLIK3_HUMAN_VTX-0865827_28_133_13982528712754417	0.7782465508590743	SLIK3_HUMAN	VTX-0865827	VTX-0865827_28_133
SLIK5_HUMAN_VTX-0865461_53_125_13982528712754417	0.7894484706536924	SLIK5_HUMAN	VTX-0865461	VTX-0865461_53_125
SLIK5_HUMAN_VTX-0868490_19_26_13982528712754417	0.7574802920089886	SLIK5_HUMAN	VTX-0868490	VTX-0868490_19_26
TNF15_HUMAN_VAS1_HUMAN_194_227_13982528712754417	0.755606850789729	TNF15_HUMAN	VAS1_HUMAN	VAS1_HUMAN_194_227
TNF15_HUMAN_NUCB1_HUMAN_164_176_13982528712754417	0.8489247658181143	TNF15_HUMAN	NUCB1_HUMAN	NUCB1_HUMAN_164_176
TNF15_HUMAN_VTX-0851377_1_87_13982528712754417	0.8377772572718026	TNF15_HUMAN	VTX-0851377	VTX-0851377_1_87
TNF15_HUMAN_VTX-0864124_24_87_13982528712754417	0.8043836144174452	TNF15_HUMAN	VTX-0864124	VTX-0864124_24_87
UNC5C_HUMAN_VTX-0865827_77_108_13982528712754417	0.765029787797765	UNC5C_HUMAN	VTX-0865827	VTX-0865827_77_108
CRTAM_HUMAN_VTX-0013820_24_95_13982528712754417	0.8036096324482267	CRTAM_HUMAN	VTX-0013820	VTX-0013820_24_95
CRTAM_HUMAN_VTX-0006178_27_84_13982528712754417	0.7631305358489652	CRTAM_HUMAN	VTX-0006178	VTX-0006178_27_84
CRTAM_HUMAN_VTX-0866104_28_72_13982528712754417	0.7590638421787298	CRTAM_HUMAN	VTX-0866104	VTX-0866104_28_72
CRTAM_HUMAN_VTX-0006555_28_72_13982528712754417	0.7616885415693231	CRTAM_HUMAN	VTX-0006555	VTX-0006555_28_72
CRTAM_HUMAN_VTX-0864124_24_87_13982528712754417	0.7518569068908364	CRTAM_HUMAN	VTX-0864124	VTX-0864124_24_87
NCTR2_HUMAN_VTX-0850824_1_19_13982528712754417	0.7756497588313354	NCTR2_HUMAN	VTX-0850824	VTX-0850824_1_19
NCTR2_HUMAN_VTX-0864359_156_170_13982528712754417	0.7827330805091269	NCTR2_HUMAN	VTX-0864359	VTX-0864359_156_170
NCTR2_HUMAN_VTX-0866980_21_170_13982528712754417	0.7838142913172635	NCTR2_HUMAN	VTX-0866980	VTX-0866980_21_170
NCTR2_HUMAN_VTX-0865461_66_125_13982528712754417	0.7568050549891578	NCTR2_HUMAN	VTX-0865461	VTX-0865461_66_125
NCTR2_HUMAN_VTX-0021927_27_86_13982528712754417	0.7806922598807833	NCTR2_HUMAN	VTX-0021927	VTX-0021927_27_86
LDLR_HUMAN_MGP_HUMAN_71_80_13982528712754417	0.8206884362409113	LDLR_HUMAN	MGP_HUMAN	MGP_HUMAN_71_80
LDLR_HUMAN_VTX-0866980_21_170_13982528712754417	0.7742974992212796	LDLR_HUMAN	VTX-0866980	VTX-0866980_21_170
